Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
,,,"Hospital non-specialist","Number of Practitioners",10,
,,,,"FTE Total",10.6,
,,,"Specialist","Number of Practitioners",98,
,,,,"FTE Total",90.0,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",17.9,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",6.1,
,,,"Non-clinician","Number of Practitioners",3,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",121,
,,,,"FTE Total",115.7,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.6,
,,,"Specialist","Number of Practitioners",10,
,,,,"FTE Total",5.3,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",9.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",62,
,,,,"FTE Total",63.0,
,,,"Hospital non-specialist","Number of Practitioners",48,
,,,,"FTE Total",50.9,
,,,"Specialist","Number of Practitioners",54,
,,,,"FTE Total",55.1,
,,,"Specialist-in-training","Number of Practitioners",21,
,,,,"FTE Total",20.6,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",53,
,,,,"FTE Total",52.0,
,,,"Hospital non-specialist","FTE Total",4.4,
,,,"Specialist","Number of Practitioners",14,
,,,,"FTE Total",15.5,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.5,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",8.6,
,,"Canning","General practitioner (GP)","Number of Practitioners",123,
,,,,"FTE Total",113.2,
,,,"Hospital non-specialist","Number of Practitioners",12,
,,,,"FTE Total",12.6,
,,,"Specialist","Number of Practitioners",22,
,,,,"FTE Total",23.5,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",6.6,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",6.5,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",4.5,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",76,
,,,,"FTE Total",71.1,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.4,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.1,
,,,"Other clinician","Number of Practitioners",3,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",43,
,,,,"FTE Total",43.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",3.3,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",7.0,
,,,"Other clinician","Number of Practitioners",3,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",9,
,,,,"FTE Total",9.1,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.4,
,,"South Perth","General practitioner (GP)","Number of Practitioners",26,
,,,,"FTE Total",22.8,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",31,
,,,,"FTE Total",32.5,
,,,"Specialist-in-training","FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.6,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",66,
,,,,"FTE Total",64.8,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",5.1,
,,,"Specialist","Number of Practitioners",15,
,,,,"FTE Total",18.8,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",11.6,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",8.9,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",98,
,,,,"FTE Total",80.1,
,,,"Hospital non-specialist","Number of Practitioners",149,
,,,,"FTE Total",166.6,
,,,"Specialist","Number of Practitioners",226,
,,,,"FTE Total",239.3,
,,,"Specialist-in-training","Number of Practitioners",154,
,,,,"FTE Total",177.2,
,,,"Other clinician","Number of Practitioners",19,
,,,,"FTE Total",15.2,
,,,"Non-clinician","Number of Practitioners",8,
,,,,"FTE Total",5.7,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",27,
,,,,"FTE Total",26.5,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",5.0,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Melville","General practitioner (GP)","Number of Practitioners",137,
,,,,"FTE Total",110.7,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",12.7,
,,,"Specialist","Number of Practitioners",162,
,,,,"FTE Total",190.0,
,,,"Specialist-in-training","Number of Practitioners",12,
,,,,"FTE Total",14.9,
,,,"Other clinician","Number of Practitioners",14,
,,,,"FTE Total",9.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",89,
,,,,"FTE Total",94.9,
,,,"Hospital non-specialist","Number of Practitioners",44,
,,,,"FTE Total",46.5,
,,,"Specialist","Number of Practitioners",53,
,,,,"FTE Total",55.7,
,,,"Specialist-in-training","Number of Practitioners",24,
,,,,"FTE Total",26.3,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",5.1,
,,,"Non-clinician","FTE Total",3.0,
,,"Albany","General practitioner (GP)","Number of Practitioners",72,
,,,,"FTE Total",73.3,
,,,"Hospital non-specialist","Number of Practitioners",12,
,,,,"FTE Total",13.4,
,,,"Specialist","Number of Practitioners",21,
,,,,"FTE Total",25.0,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",17.9,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.3,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",53,
,,,,"FTE Total",53.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",19,
,,,,"FTE Total",24.5,
,,,"Specialist","FTE Total",3.0,
,,,"Specialist-in-training","FTE Total",3.0,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",84,
,,,,"FTE Total",103.2,
,,,"Hospital non-specialist","Number of Practitioners",26,
,,,,"FTE Total",32.7,
,,,"Specialist","Number of Practitioners",22,
,,,,"FTE Total",24.5,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",31.2,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.3,
,,,"Non-clinician","Number of Practitioners",3,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",26,
,,,,"FTE Total",35.0,
,,,"Hospital non-specialist","Number of Practitioners",10,
,,,,"FTE Total",9.4,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",15.2,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.8,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.8,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",37,
,,,,"FTE Total",49.7,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",15.1,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",6.5,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",5.8,
,,"Esperance","General practitioner (GP)","Number of Practitioners",13,
,,,,"FTE Total",15.7,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.7,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",19,
,,,,"FTE Total",23.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",4.8,
,,,"Specialist","FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",43,
,,,,"FTE Total",48.5,
,,,"Hospital non-specialist","Number of Practitioners",17,
,,,,"FTE Total",23.8,
,,,"Specialist","Number of Practitioners",18,
,,,,"FTE Total",24.0,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",7.9,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",6.7,
,,"Mid West","General practitioner (GP)","Number of Practitioners",71,
,,,,"FTE Total",86.1,
,,,"Hospital non-specialist","Number of Practitioners",24,
,,,,"FTE Total",26.0,
,,,"Specialist","Number of Practitioners",18,
,,,,"FTE Total",21.1,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",16.4,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.7,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,"2014","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",62,
,,,,"FTE Total",60.3,
,,,"Hospital non-specialist","Number of Practitioners",10,
,,,,"FTE Total",11.0,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",4.8,
,,,"Specialist-in-training","Number of Practitioners",12,
,,,,"FTE Total",12.0,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",108,
,,,,"FTE Total",113.3,
,,,"Hospital non-specialist","Number of Practitioners",39,
,,,,"FTE Total",38.3,
,,,"Specialist","Number of Practitioners",110,
,,,,"FTE Total",130.2,
,,,"Specialist-in-training","Number of Practitioners",43,
,,,,"FTE Total",53.9,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.4,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",19.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",87,
,,,,"FTE Total",91.0,
,,,"Hospital non-specialist","Number of Practitioners",30,
,,,,"FTE Total",33.5,
,,,"Specialist","Number of Practitioners",33,
,,,,"FTE Total",36.1,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",24.9,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",185,
,,,,"FTE Total",146.2,
,,,"Hospital non-specialist","Number of Practitioners",234,
,,,,"FTE Total",272.3,
,,,"Specialist","Number of Practitioners",555,
,,,,"FTE Total",615.9,
,,,"Specialist-in-training","Number of Practitioners",223,
,,,,"FTE Total",262.2,
,,,"Other clinician","Number of Practitioners",20,
,,,,"FTE Total",16.2,
,,,"Non-clinician","Number of Practitioners",17,
,,,,"FTE Total",16.6,
,,"Perth City","General practitioner (GP)","Number of Practitioners",295,
,,,,"FTE Total",263.8,
,,,"Hospital non-specialist","Number of Practitioners",349,
,,,,"FTE Total",408.1,
,,,"Specialist","Number of Practitioners",1134,
,,,,"FTE Total",1288.1,
,,,"Specialist-in-training","Number of Practitioners",473,
,,,,"FTE Total",565.8,
,,,"Other clinician","Number of Practitioners",77,
,,,,"FTE Total",67.3,
,,,"Non-clinician","Number of Practitioners",35,
,,,,"FTE Total",31.6,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",70,
,,,,"FTE Total",64.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",7.7,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.8,
,,,"Other clinician","Number of Practitioners",3,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",26.1,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Specialist","FTE Total",3.0,
,,,"Specialist-in-training","FTE Total",3.0,
,,"Swan","General practitioner (GP)","Number of Practitioners",105,
,,,,"FTE Total",101.4,
,,,"Hospital non-specialist","Number of Practitioners",43,
,,,,"FTE Total",48.7,
,,,"Specialist","Number of Practitioners",71,
,,,,"FTE Total",73.2,
,,,"Specialist-in-training","Number of Practitioners",41,
,,,,"FTE Total",39.0,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",8.3,
,,,"Non-clinician","Number of Practitioners",3,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",201,
,,,,"FTE Total",185.1,
,,,"Hospital non-specialist","Number of Practitioners",98,
,,,,"FTE Total",106.7,
,,,"Specialist","Number of Practitioners",177,
,,,,"FTE Total",209.7,
,,,"Specialist-in-training","Number of Practitioners",117,
,,,,"FTE Total",124.8,
,,,"Other clinician","Number of Practitioners",17,
,,,,"FTE Total",18.6,
,,,"Non-clinician","Number of Practitioners",3,
,,"Stirling","General practitioner (GP)","Number of Practitioners",155,
,,,,"FTE Total",135.9,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",16.0,
,,,"Specialist","Number of Practitioners",98,
,,,,"FTE Total",91.9,
,,,"Specialist-in-training","Number of Practitioners",26,
,,,,"FTE Total",30.1,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",7.9,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.8,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",128,
,,,,"FTE Total",122.3,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",5.5,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",11.4,
,,,"Specialist-in-training","Number of Practitioners",10,
,,,,"FTE Total",10.4,
,,,"Other clinician","FTE Total",3.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",70,
,,,,"FTE Total",73.1,
,,,"Hospital non-specialist","Number of Practitioners",68,
,,,,"FTE Total",74.4,
,,,"Specialist","Number of Practitioners",56,
,,,,"FTE Total",58.5,
,,,"Specialist-in-training","Number of Practitioners",32,
,,,,"FTE Total",35.1,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.0,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",54,
,,,,"FTE Total",50.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",11,
,,,,"FTE Total",13.6,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",6.8,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",7.4,
,,"Canning","General practitioner (GP)","Number of Practitioners",130,
,,,,"FTE Total",119.1,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",16.6,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",29.9,
,,,"Specialist-in-training","Number of Practitioners",15,
,,,,"FTE Total",14.3,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",6.1,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",4.7,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",87,
,,,,"FTE Total",81.7,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",4.6,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",4.6,
,,,"Other clinician","Number of Practitioners",3,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",47,
,,,,"FTE Total",49.7,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",4.8,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.9,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",12,
,,,,"FTE Total",13.4,
,,,"Specialist-in-training","Number of Practitioners",3,
,,"South Perth","General practitioner (GP)","Number of Practitioners",39,
,,,,"FTE Total",33.3,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",27,
,,,,"FTE Total",26.6,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.5,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",82,
,,,,"FTE Total",81.4,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",3.8,
,,,"Specialist","Number of Practitioners",16,
,,,,"FTE Total",17.0,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",12.7,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",92,
,,,,"FTE Total",77.6,
,,,"Hospital non-specialist","Number of Practitioners",126,
,,,,"FTE Total",147.4,
,,,"Specialist","Number of Practitioners",234,
,,,,"FTE Total",257.2,
,,,"Specialist-in-training","Number of Practitioners",160,
,,,,"FTE Total",183.0,
,,,"Other clinician","Number of Practitioners",19,
,,,,"FTE Total",17.5,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",4.0,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",30,
,,,,"FTE Total",29.1,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",4.8,
,,"Melville","General practitioner (GP)","Number of Practitioners",153,
,,,,"FTE Total",131.3,
,,,"Hospital non-specialist","Number of Practitioners",18,
,,,,"FTE Total",18.8,
,,,"Specialist","Number of Practitioners",175,
,,,,"FTE Total",201.9,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",10.7,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",11.1,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",7.3,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",111,
,,,,"FTE Total",110.8,
,,,"Hospital non-specialist","Number of Practitioners",43,
,,,,"FTE Total",44.2,
,,,"Specialist","Number of Practitioners",70,
,,,,"FTE Total",77.2,
,,,"Specialist-in-training","Number of Practitioners",36,
,,,,"FTE Total",39.5,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Albany","General practitioner (GP)","Number of Practitioners",84,
,,,,"FTE Total",82.2,
,,,"Hospital non-specialist","Number of Practitioners",14,
,,,,"FTE Total",15.1,
,,,"Specialist","Number of Practitioners",28,
,,,,"FTE Total",32.5,
,,,"Specialist-in-training","Number of Practitioners",20,
,,,,"FTE Total",20.3,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",53,
,,,,"FTE Total",55.7,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",5.7,
,,,"Other clinician","FTE Total",3.0,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",26.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","FTE Total",3.0,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",80,
,,,,"FTE Total",86.1,
,,,"Hospital non-specialist","Number of Practitioners",35,
,,,,"FTE Total",39.9,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",28.0,
,,,"Specialist-in-training","Number of Practitioners",31,
,,,,"FTE Total",34.7,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",11.8,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",43.2,
,,,"Hospital non-specialist","Number of Practitioners",10,
,,,,"FTE Total",11.8,
,,,"Specialist","Number of Practitioners",13,
,,,,"FTE Total",18.1,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",9.1,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",40,
,,,,"FTE Total",53.1,
,,,"Hospital non-specialist","Number of Practitioners",6,
,,,,"FTE Total",7.2,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",6.5,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.2,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",5.1,
,,"Esperance","General practitioner (GP)","Number of Practitioners",15,
,,,,"FTE Total",17.4,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.5,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",16,
,,,,"FTE Total",19.4,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",5.9,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,"Other clinician","FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",38,
,,,,"FTE Total",41.0,
,,,"Hospital non-specialist","Number of Practitioners",14,
,,,,"FTE Total",17.7,
,,,"Specialist","Number of Practitioners",29,
,,,,"FTE Total",30.8,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",11.4,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",6.1,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",70,
,,,,"FTE Total",79.1,
,,,"Hospital non-specialist","Number of Practitioners",21,
,,,,"FTE Total",25.7,
,,,"Specialist","Number of Practitioners",23,
,,,,"FTE Total",26.9,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",13.1,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",8.7,
,"2015","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",71,
,,,,"FTE Total",65.8,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",14.4,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",8.9,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",10.1,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",5.3,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",111,
,,,,"FTE Total",115.6,
,,,"Hospital non-specialist","Number of Practitioners",33,
,,,,"FTE Total",38.7,
,,,"Specialist","Number of Practitioners",99,
,,,,"FTE Total",110.5,
,,,"Specialist-in-training","Number of Practitioners",40,
,,,,"FTE Total",44.9,
,,,"Other clinician","Number of Practitioners",12,
,,,,"FTE Total",10.1,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",23.9,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",108,
